====== Drop ======
>[[start]]

===== Yikes =====

^	Key	^	Id	^	Name	^	ShardId	^	%	^	Rare	^	#	^	%	^	Common	^	#	^	%	^	RareIng	^	#	^	%	^	CommonIng	^	#	^	%	^
|	N1001_Shard	|	558	|	Vepar	|	SwingTentacle	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N1002_Shard	|	560	|	Bloodless	|	Bloodsteel	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N1003_Shard	|	562	|	Craftwork	|	Demoniccapture	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N1006_Shard	|	564	|	Bathin	|	Reflectionray	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N1008_Shard	|	566	|	Gremory	|	Dimensionshift	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N2001_Shard	|	568	|	Glutton Train	|	Hammerknuckle	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N2004_Shard	|	569	|	Andrealphus	|	Doublejump	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N2006_Shard	|	570	|	Orobas	|	Invert	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N2007_Shard	|	571	|	Doppelganger	|	Shadowtracer	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N2012_Shard	|	573	|	Orlok Dracule	|	AccelWorld	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N2013_Shard	|	574	|	IGA	|	NeverSatisfied	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N1004_Shard	|	575	|	Valefar	|	GoldBarrett	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N1005_Shard	|	576	|	Valac	|	InfernoBrace	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3006_Shard	|	581	|	Seama	|	Ceruleansplash	^	3	|		^		^		|		^		^		|	Halite	^	1	^	5	|	Recklesslimb	^	1	^	12	|
|	N3006_OpeningDemo	|	582	|	Seama	|	Ceruleansplash	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3005_Shard	|	583	|	Cannon Morte	|	FireCannon	^	2	|	Hollowpoint	^	3	^	3	|	Softpoint	^	3	^	10	|	ElmLumber	^	1	^	4	|	CannonDebris	^	1	^	12	|
|	N3005_FireCannon	|	584	|	Cannon Morte	|	FireCannon	^	100	|		^		^		|		^		^		|		^		^		|		^		^		|
|	N3007_Shard	|	585	|	Aello	|	Raginggirl	^	4	|	Lemon	^	1	^	4	|	Tomato	^	1	^	8	|	MonsterBirdTears	^	1	^	8	|		^		^		|
|	N3013_Shard	|	586	|	Ghost	|	SummonAme	^	2	|	Ether	^	1	^	6	|	Ectoplasm	^	1	^	10	|	Alkhahest	^	1	^	12	|		^		^		|
|	N3015_Shard	|	587	|	Dullahammer	|	Headfail	^	4	|	DurahanMaherm	^	1	^	3	|	Uni	^	1	^	8	|	Iron	^	1	^	8	|	Bronze	^	1	^	12	|
|	N3051_Shard	|	590	|	Giant Rat	|	SummonRat	^	4	|		^		^		|	Cheese	^	1	^	12	|	Giantratteeth	^	1	^	4	|	Giantrattail	^	1	^	10	|
|	N3004_Shard	|	591	|	Bone Morte	|	BoonsLore	^	4	|	Stonemask	^	1	^	4	|		^		^		|	MeltingSkull	^	1	^	5	|	MeltedBone	^	1	^	15	|
|	N3029_Shard	|	594	|	Bat	|	SummonButt	^	3	|		^		^		|		^		^		|	Batfang	^	1	^	5	|	BatFeather	^	1	^	15	|
|	N3073_Shard	|	595	|	Gieremund	|	SummonGilemund	^	4	|	WolfBalt	^	1	^	1	|		^		^		|	DemonDogFang	^	1	^	5	|	DemonDogSkin	^	1	^	10	|
|	N3105_Shard	|	596	|	Blood Grinder Knight	|	HelleTicalGrinder	^	4	|	OutsiderKnightSword	^	1	^	2	|	Scalearmor	^	1	^	4	|	Steel	^	1	^	5	|	Iron	^	1	^	10	|
|	N3080_Shard	|	597	|	Sabnock	|	SwordMastery	^	4	|	Obsidian	^	1	^	5	|	LongSword	^	1	^	8	|	Steel	^	1	^	8	|	ManeLion	^	1	^	12	|
|	N3066_Shard	|	600	|	Moco Weed	|	EntangleBind	^	4	|	DaturaLeaf	^	1	^	6	|	MocoOil	^	1	^	12	|	MocoOnion	^	1	^	12	|	Hemp	^	1	^	8	|
|	N3042_Shard	|	601	|	Toad	|	Releasetoade	^	3	|		^		^		|		^		^		|	ToadHeart	^	1	^	2	|	Poisontoadeye	^	1	^	8	|
|	N3065_Shard	|	602	|	Plume Parma	|	SummonYorkton	^	4	|	Tonkatsu	^	1	^	1	|	YorktonMeat	^	1	^	12	|		^		^		|		^		^		|
|	N3011_Shard	|	603	|	Barbatos	|	StraightArrow	^	4	|	ArmorPiercing	^	5	^	3	|	Hollowpoint	^	3	^	12	|	Cotton	^	1	^	5	|	DemonCloth	^	1	^	12	|
|	N3091_Shard	|	604	|	Carabosse	|	FamiliaCarabos	^	4	|	FaerieElixir	^	1	^	4	|	FaerieMedicine	^	1	^	8	|		^		^		|	FairyPowder	^	1	^	10	|
|	N3034_Shard	|	605	|	Simian	|	SummonApe	^	3	|		^		^		|	Ring	^	1	^	10	|	MonkeyFur	^	1	^	3	|	Toadfluid	^	1	^	10	|
|	N3075_Shard	|	606	|	Zagan	|	CraftMastery	^	2	|	Rennet	^	1	^	15	|	ZaganMeat	^	1	^	8	|	MilkofZagan	^	1	^	8	|	Chicomecoatlhorn	^	1	^	12	|
|	N3100_Shard	|	609	|	Poltergeist	|	GratefulAssist	^	4	|		^		^		|	Alkhahest	^	1	^	10	|		^		^		|	OakLumber	^	1	^	10	|
|	N3104_Shard	|	610	|	Ordog	|	Acidgouache	^	4	|	CurryPowder	^	1	^	3	|		^		^		|		^		^		|		^		^		|
|	N3053_Shard	|	611	|	Gargoyle	|	Petrey	^	4	|		^		^		|	Stonethaw	^	1	^	10	|	Obsidian	^	1	^	8	|	Gargoyledebris	^	1	^	10	|
|	N3079_Shard	|	612	|	Killer Barber	|	KnifeMastery	^	4	|	WalalSoulimo	^	1	^	4	|		^		^		|		^		^		|	SharpRazor	^	1	^	10	|
|	N3055_Shard	|	613	|	Demon	|	INTEnhance	^	5	|		^		^		|		^		^		|	BelialHeart	^	1	^	4	|	Devilsfang	^	1	^	10	|
|	N3001_Shard	|	614	|	Buer	|	SummonBuell	^	4	|	Cocoa	^	1	^	2	|		^		^		|	Ivory	^	1	^	5	|	Buerfur	^	1	^	10	|
|	N3116_Shard	|	615	|	Nyabon	|	LigaStreyma	^	5	|	CatEars	^	1	^	6	|		^		^		|		^		^		|		^		^		|
|	N3082_Shard	|	618	|	Scythe Mite	|	SummonBugs	^	4	|	Poison	^	1	^	5	|	Mithridate	^	1	^	10	|	TytaniaPoisonedNeedle	^	1	^	3	|	Mimicshell	^	1	^	6	|
|	N3090_Shard	|	619	|	Dullahammer Head	|	SummonDurahanMaHead	^	2	|		^		^		|	DurahanMaherm	^	1	^	5	|		^		^		|		^		^		|
|	N3084_Shard	|	620	|	Buer Armor	|	SummonBuell	^	5	|		^		^		|	Ironbreastplate	^	1	^	8	|	Ruby	^	1	^	5	|	Steel	^	1	^	8	|
|	N2002_Shard	|	621	|	Wolfman	|	Beastguard	^	5	|	WolfHood	^	1	^	6	|	Felt	^	1	^	12	|	Wolfclaw	^	1	^	8	|	Wolfmanfur	^	1	^	12	|
|	N3064_Shard	|	624	|	Decarabia	|	CircleRipper	^	5	|		^		^		|		^		^		|		^		^		|	Decarabialeather	^	1	^	8	|
|	N3010_Shard	|	625	|	Shovel Armor	|	Shovelshooter	^	4	|	Shovelarmorsarmor	^	1	^	3	|	Excavator	^	1	^	6	|	Sapphire	^	1	^	5	|	Steel	^	1	^	10	|
|	N3033_Shard	|	628	|	Thunder Elemental	|	ResistThunder	^	4	|		^		^		|		^		^		|	Emerald	^	1	^	5	|		^		^		|
|	N3017_Shard	|	629	|	Carriage Morte	|	GunMastery	^	5	|		^		^		|		^		^		|	OakLumber	^	1	^	4	|	Iron	^	1	^	8	|
|	N3063_Shard	|	630	|	Dantalion	|	FamiliaDantalion	^	4	|		^		^		|		^		^		|	DevilBookPaperStrip	^	1	^	6	|	DevilBookLeather	^	1	^	8	|
|	N3103_Shard	|	631	|	Rul'sha	|	Sacredshade	^	4	|	FireWhip	^	1	^	4	|	Lemon	^	1	^	8	|	Ruby	^	1	^	5	|		^		^		|
|	N3099_Shard	|	634	|	Malediction	|	ResistPetri	^	2	|	Halper	^	1	^	3	|	Stonethaw	^	1	^	10	|		^		^		|		^		^		|
|	N3008_Shard	|	635	|	Celaeno	|	TepesOsius	^	4	|	G-LabolasFilet	^	1	^	5	|	Strawberry	^	1	^	10	|	MonsterBirdHair	^	1	^	6	|	ThunderbirdFeathers	^	1	^	8	|
|	N3111_Shard	|	636	|	Shield Outsider	|	Aimingshield	^	5	|	Steelbreastplate	^	1	^	4	|	MeltedBone	^	1	^	12	|	Jeneralskull	^	1	^	5	|	Silver	^	1	^	10	|
|	N3058_Shard	|	639	|	Lili	|	ChangeBunny	^	4	|		^		^		|		^		^		|	Lilimtail	^	1	^	5	|	Lilimear	^	1	^	8	|
|	N3019_Shard	|	640	|	Assassin	|	ShootingDagger	^	4	|	AssassinsRing	^	1	^	3	|	Assassinvest	^	1	^	5	|		^		^		|	Assasincloth	^	1	^	8	|
|	N2009_Shard	|	641	|	Dragon	|	DragonicRage	^	5	|		^		^		|	DragonsEgg	^	1	^	5	|	Dragonclaw	^	1	^	5	|	Dragonscales	^	1	^	8	|
|	N3025_Shard	|	642	|	Kunekune	|	Resistcurse	^	12	|		^		^		|		^		^		|		^		^		|	Platinum	^	1	^	15	|
|	N3043_Shard	|	645	|	Poison Toad	|	ResistPoison	^	3	|	Poison	^	1	^	4	|	Mithridate	^	1	^	8	|	Evileye	^	1	^	5	|	ToadHeart	^	1	^	8	|
|	N3092_Shard	|	646	|	Sidhe	|	Healing	^	4	|	Stinger	^	1	^	4	|		^		^		|	Dineseawing	^	1	^	5	|	TytaniaPoisonedNeedle	^	1	^	8	|
|	N3024_Shard	|	647	|	Bomber Morte	|	BaudRideBlast	^	4	|		^		^		|	Gunpowder	^	1	^	10	|		^		^		|		^		^		|
|	N3070_Shard	|	648	|	Mimic	|	Moneyispower	^	4	|		^		^		|		^		^		|	DamascusSteel	^	1	^	5	|	Mimicshell	^	1	^	8	|
|	N3114_Shard	|	649	|	Puppy	|	ResistBrow	^	5	|		^		^		|		^		^		|	DamascusSteel	^	1	^	5	|	Devilsfang	^	1	^	8	|
|	N3072_Shard	|	652	|	Chair Mimic	|	SummonChair	^	5	|		^		^		|		^		^		|	Mimicchairdebris	^	1	^	5	|	WalnutLumber	^	1	^	8	|
|	N3012_Shard	|	653	|	Leraje	|	ChaseArrow	^	4	|	Trador	^	1	^	4	|	Gunpowder	^	1	^	10	|		^		^		|	Lerajecloth	^	1	^	12	|
|	N3052_Shard	|	654	|	Bloodbringer	|	FamiliaBradBringer	^	4	|		^		^		|		^		^		|	deathBringerDebris	^	1	^	5	|	Silver	^	1	^	8	|
|	N3085_Shard	|	655	|	Lance Armor	|	SpearMastery	^	4	|		^		^		|	Partizan	^	1	^	8	|	DamascusSteel	^	1	^	8	|	Silver	^	1	^	12	|
|	N3109_Shard	|	656	|	Tamako-Death	|	Upbeatheat	^	4	|	Smoothie	^	1	^	4	|	SilverTiara	^	1	^	8	|	Lamastutear	^	1	^	5	|	Strawberry	^	1	^	12	|
|	N3037_Shard	|	657	|	Triwheel Buer	|	FamiliaBuell	^	4	|		^		^		|		^		^		|		^		^		|		^		^		|
