====== Items ======
>[[start]]
===== Here goes nothing! =====

^	-Type-	^	-Index-	^	-Name-	^	-ID-	^	-Effect-	^	-Description-	^
|	Book	|	574	|	Might Tome	|	Bookofstiffness	|	10	|	A book imbued with magic that increases strength (STR).	|
|	Book	|	575	|	Sage's Tome	|	Abookofwisemen	|	10	|	A book imbued with magic that increases intelligence (INT).	|
|	Book	|	576	|	Sentinel Tome	|	GuardiansBook	|	10	|	A book imbued with magic that increases constitution (CON).	|
|	Book	|	577	|	Believer's Tome	|	Bookoffaith	|	10	|	A book imbued with magic that increases mind (MND).	|
|	Book	|	578	|	Fortune Tome	|	BookofFortune	|	5	|	A curious book that seems to bring good fortune. Increases LUCK.	|
|	Book	|	579	|	Godsend Tome	|	BookofFury	|	15	|	A marvelous book that brings wondrous fortune. Greatly increases LUCK.	|
|	Book	|	580	|	Coldstave Tome	|	Bookofwinter	|	15	|	A book that is warm to the touch. Increases resistance to ice.	|
|	Book	|	581	|	Heatstave Tome	|	Heatresistantbook	|	15	|	A book that is cold to the touch. Increases resistance to fire.	|
|	Book	|	582	|	Shockstave Tome	|	LightningProtectionBook	|	15	|	A book under divine protection. Increases resistance to thunder.	|
|	Book	|	583	|	Empyreal Tome	|	Bookoflatency	|	15	|	A holy book containing God's power. Increases resistance to darkness.	|
|	Book	|	584	|	Obscurity Tome	|	ShadingBook	|	15	|	A book brimming with dark energy. Increases resistance to light.	|
|	Book	|	585	|	Corporeity Tome	|	Bookoffossilstone	|	15	|	A book holding secrets of the flesh. Increases petrification resistance.	|
|	Book	|	586	|	Immunity Tome	|	Bookofdetoxification	|	15	|	A book imbued with fortifying magic. Increases poison resistance.	|
|	Book	|	587	|	Blessed Tome	|	TheBookofMonster	|	15	|	A book that a priest has blessed. Increases curse resistance.	|
|	Book	|	588	|	Prowess Tome	|	BookoftheMighty	|	1.2	|	A book that speeds muscle movement. Increases standard attack speed.	|
|	Book	|	589	|	Tailwind Tome	|	Abookofthegale	|	1.2	|	A book that fortifies the legs. Increases movement speed.	|
|	Book	|	590	|	Tactician's Tome	|	BookofTactics	|	1.2	|	A book of power by a great tactician. Increases EXP intake.	|
|	Book	|	591	|	Mastery Tome	|	Bookofexercise	|	1.2	|	A book by a warrior of great skill. Hastens proficiency growth.	|
|	Book	|	592	|	Tome of Conquest	|	Bookofthechampion	|	1.2	|	The ultimate tome. Equivalent to the Prowess, Tailwind, and Mastery Tomes. (Tactician)	|
|	Book	|	593	|	Ancillary Tome	|	Bookofthefollower	|	1.2	|	A book by a legendary summoner. Increases the power of familiars.	|
|	Book	|	594	|	Deadeye Tome	|	BookofDevils	|	1.2	|	A book written by a godlike hunter. Makes directional shards stronger.	|
|	Food	|	433	|	Rice Ball	|	RiceBall	|	30	|	Cooked rice shaped into a portable snack for when you feel peckish.	|
|	Food	|	434	|	Fried Potatoes	|	FriedPotatoes	|	75	|	Potatoes fried in oil, which gets all over your hands... You won't care.	|
|	Food	|	435	|	Corn Chowder	|	CornChowder	|	80	|	A thick but smooth corn soup that hovers between a food and a drink.	|
|	Food	|	436	|	Apple Risotto	|	AppleRisotto	|	320	|	An improvised risotto made with apple and rice. Surprisingly good.	|
|	Food	|	437	|	Uni Rice Bowl	|	UniDon	|	375	|	A simple dish consisting of sea urchin on cooked rice. Delectable.	|
|	Food	|	438	|	Pizza	|	Pizza	|	395	|	Pizza dough covered in toppings and an irresistible layer of cheese.	|
|	Food	|	439	|	Fried Egg	|	FriedEgg	|	45	|	The simplest of egg dishes. Needs no more than a dash of salt and pepper.	|
|	Food	|	440	|	Rolled Omelette	|	RolledOmelette	|	80	|	A whisked eggs spread flat while cooking and then rolled up.	|
|	Food	|	441	|	Egg on Rice	|	EggonRice	|	95	|	The ultimate everyman's breakfast: raw egg and soy sauce over rice.	|
|	Food	|	442	|	Scrambled Eggs	|	ScrambledEggs	|	57	|	A dish made by whisking eggs before cooking them. Or, a failed omelette.	|
|	Food	|	443	|	Egg Soufflé	|	EggSoufflé	|	170	|	An egg dish that looks and tastes as fluffy as a cloud.	|
|	Food	|	444	|	Omurice	|	Omurice	|	195	|	Rice wrapped in an omelette. A novel idea, but tricky to prepare.	|
|	Food	|	445	|	Fried Fish	|	FriedFish	|	100	|	Whitefish that has been breaded and fried to enhance flavor and texture.	|
|	Food	|	446	|	Fish & Chips	|	FishAndChips	|	170	|	Fried fish and fried potatoes on a single plate. Fattening? Never.	|
|	Food	|	447	|	Forneus Meunière	|	ForneusMeunière	|	295	|	Whitefish fried in a bit of fat until it turns a scrumptious golden brown.	|
|	Food	|	448	|	Forneus in Garlic	|	ForneusinGarlic	|	320	|	Whitefish fried in garlic and fat. The smell clings to your garments.	|
|	Food	|	449	|	Simmered Forneus	|	SimmeredForneus	|	320	|	Simmered whitefish that falls apart in your mouth.	|
|	Food	|	450	|	Fish Hot Pot	|	FishHotPot	|	495	|	A hot pot made with whitefish. Add rice at the end for a risotto.	|
|	Food	|	451	|	Macaroni Gratin	|	MacaroniGratin	|	220	|	Macaroni covered in white sauce and baked. Don't miss the crispy bottom.	|
|	Food	|	452	|	Macaroni & Cheese	|	MacaroniAndCheese	|	270	|	A classic made by slathering pasta with cheese. But this seems off...	|
|	Food	|	453	|	Classic Spaghetti	|	ClassicSpaghetti	|	195	|	Pasta tossed in tomato sauce. Certain to put a smile on any face.	|
|	Food	|	454	|	Pasta Carbonara	|	PastaCarbonara	|	245	|	A popular pasta made with a thick, creamy sauce. Quick and delicious.	|
|	Food	|	455	|	Pasta Vongole	|	PastaVongole	|	295	|	A clam and garlic pasta that floods your mouth with flavor.	|
|	Food	|	456	|	Sea Urchin Pasta	|	SeaUrchinPasta	|	370	|	Pasta tossed in creamy sea urchin and accented with an acidic tomato note.	|
|	Food	|	457	|	Salt Ramen	|	SaltRamen	|	245	|	Chinese noodles in salt broth. Goes well with a bowl of rice.	|
|	Food	|	458	|	Soy Ramen	|	SoyRamen	|	245	|	Chinese noodles in soy broth. It's polite to drink all the soup.	|
|	Food	|	459	|	Tonkotsu Ramen	|	TonkotsuRamen	|	245	|	Chinese noodles in tonkotsu broth. A rich flavor you'll learn to crave.	|
|	Food	|	460	|	Miso Ramen	|	MisoRamen	|	245	|	Chinese noodles in miso broth. Warms the body and soul.	|
|	Food	|	461	|	Chicken Casserole	|	ChickenCasserole	|	170	|	Chicken and rice covered in white sauce and baked. Don't burn yourself.	|
|	Food	|	462	|	Garlic Chicken	|	GarlicChicken	|	200	|	Chicken cooked in garlic sauce. One whiff is enough to make you hungry.	|
|	Food	|	463	|	Chicken Sauté	|	ChickenSauté	|	200	|	A chicken thigh fried in fat, yielding crispy skin and juicy meat.	|
|	Food	|	464	|	Ginger Pork	|	GingerPork	|	175	|	Thinly sliced pork simmered in ginger sauce. Pairs well with rice.	|
|	Food	|	465	|	Pork Cutlet	|	Tonkatsu	|	300	|	A slice of pork that has been breaded and fried for a crispy outside.	|
|	Food	|	466	|	Sukiyaki	|	Sukiyaki	|	375	|	A hot pot made with meat and vegetables which are dipped in egg.	|
